name,other_names,official_no,type_at_loss,build_info,specs,date_of_loss,place_of_loss,lake,type_of_loss,loss_of_life_original,loss_of_life,carrying,detail,sources,media_notes,source_page,latitude,longitude,coord_confidence
H.B. STEELE,none,11302,"schooner, wood, 2-mast","1858, Alex. Gauley or J. Redfield, St. Clair, MI","89x22x7, 87 gt.","1870, Oct 30",3 mi N of Pt. Betsie,Michigan,storm,(none),none,?,"She was driven ashore and pounded to pieces. She was considered too old to bear the expense of saving her. Out of Milwaukee Heavily damaged on Lake Erie in early Nov., 1859. Ashore and expected to become a total loss at Sturgeon Bay, Wisconsin, in Nov., 1867. Major repairs in 1868.","mv,lmdc,hgl,nb,nsp,wl,rsl,wgts",,s,43.421405,-87.066563,geocoded_lake_centroid
STEELVENDOR,none,223082,"diesel propeller, steel, package/bulk freighter","1923, Federal Shipbuilding, Kearney, NJ hull# 77","250x43x20, 1695 t.","1942, Sep 3",near Manitou Island,Superior,storm,1,1,steel billets,She capsized and foundered in heavy seas. Her cargo was intended for war production. Included on lists of U. S. World War II war losses.,"ns4,is(1-65),gwgl,lss,mpl,eas, ww2",Image of STEELVENDOR from MHGL,s,46.721579,-86.87452,estimated_from_place_text_lake_corrected
HENRY STEINBRENNER,none,96584,"propeller, steel, bulk freight","1901, Jenks Ship Building, Port Huron hull# 14","427x50x28, 4345g 3178n","1953, May 11",off Isle Royale,Superior,storm,17 of 30 [crew loss list included in Runge document],17,iron ore,"She foundered in a 75 mph gale when her hatch covers blew off. She filled and sank quickly. Part of her crew had abandoned before she went down. Master: Capt. Albert Stiglin. Owned by Kinsman Trans. Co. and managed by Henry Steinbrenner. Sank in St. Mary’s R. following a collision with HARRY A. BERWIND in Dec 1909. Declared a total loss, but later recovered. Official U.S. Coast Guard Report (.pdf file, courtesy Kimm Satbelfeldt)","ns4,mv,eas,lss,irs,is,s,gwgl,sol,mpl",Image from HCGL,s,46.978228,-87.143085,estimated_from_place_text_lake_corrected
J. STEINHART,none,none,"schooner, wood, 2-mast","1853, E. Euniack, Milwaukee","72x18x5, 68 t.","1855, Oct 28",6 mi N of Milwaukee,Michigan,storm,several [mate and cook at least],several [mate and cook at least],cordwood,"Bound Green Bay for Chicago, she capsized in a gale. Reported as a total loss. Out of Milwaukee, owned by Guido Pfister and Capt. Ross","rnc,hgl,wl,jm,bb,wls",,s,43.195497,-87.567474,estimated_from_place_text
J.W. STEINHOFF*,later QUEEN CITY(1896) and CANADA(1901),C71101,"propeller, wood, passenger and package freight","1874, Jenking, Wallaceburg, Ont.","123x24x9, 313gc 209nc","1879, Aug 13","foot of Griswold St., Detroit",Detroit R,fire,2,2,cordwood,"She caught fire in the middle of the night and was heavily damaged, along with the Hutchings dock and warehouse. One of the casualties was a young boy who was brought on deck by the engineer, placed on a salt barrel, and told to stay put while the rest of the crew was aroused. The engineer was cut off by the fire and was unable to return to the spot, and the boy was never seen again. Owned by Capt. John W. Steinhoff and mastered by his son Capt. Andrew Steinhoff, who was injured in the fire. Declared a total loss with $11,700 damage, the wreck was towed to Walkerville, Ont., then to Chatham, Ont., where she was rebuilt. *often seen as just STEINHOFF Also rebuilt, 1877 Scrapped in 1909.","polk,csv,mmgl,hdm,es,nsp",Image from HCGL,s,42.505946,-82.824138,estimated_from_place_text_lake_corrected
WILLIAM H. STEPHENS,also seen as WILLIAM H. STEVENS,none,"schooner, wood","1855, Peck & Martin, Cleveland","117x22x9, 297 t","1863, Nov 15","Scarecrow Island, S end of Thunder Bay",Huron,storm (?),(none),none,wheat,"She struck a reef outlying the island and was wrecked, then slipped off the reef into deeper water. Though the wrecking tugs Leviathan and GEO. McCLELLAN were sent to assist her, she was considered hopeless and was stripped and abandoned by the 28th. Owned by Kirby, Carpenter & Co., Milwaukee","hgl,slh,stb,nsp,wmn,bb",,s,44.409275,-82.241547,estimated_from_place_text_lake_corrected
STERLING,none,C none,"schooner, wood, 2-mast","1850 or earlier, Geo. Stinks, Port Burwell, Ont.","54x7x7, 49 t.",1856,near Toronto,Ontario,(storm),?,none,?,"She was reported ashore and wrecked. Out of Port Burwell. Another schooner STERLING was reported lost at Goderich, Ont, in 1833.","hgl,mmgl",,s,43.32563,-77.557438,estimated_from_place_text_lake_corrected
STETSON,?,C ?,"canal boat, wood",?,?,"1900, Sep (18)",unreported,Huron,storm,?,none,? [probably light],She foundered in a gale. In tow of steamer KINGSTON. She was being moved from the upper Lakes to Kingston for use as a lighter. Recently purchased by Capt. T. Folger of Kingston,nsp not in mmgl,,s,44.442035,-82.448087,geocoded_lake_centroid
ANDREW STEVENS,also reported as O. STEVENS,(C?),"bark, wood, 3-mast","1855, J. White, Hamilton, Ont.","141x26x12, 417 t.","1867, Nov 12",Georgian Bay,Huron,storm,(none),none,?,"Bound Detroit for Georgian Bay, she was driven on a reef in a storm. Later stormy weather forced several wrecking expeditions to turn back. (no disposition is shown on official records) Chicago newspaper of May 26, 1857 reported the Canadian bark ANDREW STEVENS loading mixed cargo for Glasgow at Chicago.","hgl,slh,mmgl,nsp",,s,43.693122,-81.875548,estimated_from_place_text_lake_corrected
BELLE STEVENS,"also seen as ELLA STEVENS, BELLE STEPHENS",3133,"schooner, wood","1861, G. Hanson, St. Joseph, Mich","89x22x7, 88g 84n","1890, Nov 1","just outside harbor at Manistee, MI",Michigan,(storm),?,none,lumber & shingles,"She went ashore in a gale and broke up. A former U.S. government supply schooner, she was driven on Skillagalee Reef and wrecked by wave action in October, 1873. Towed to Bay City in a wrecked condition late in the fall of 1874, she was totally rebuilt in that winter. The rebuild was so complete that many sources show her as a new vessel in 1875.","mv,phr,vbs,h,bb,hgl,rsl",,s,43.458791,-86.693237,estimated_from_place_text_lake_corrected
FRANK B. STEVENS,"built as passenger/package freight steamer ST. JOSEPH, renamed 1916",C134517,"propeller, wood, bulk freight [US23354]","1867, Hitchcock & Gibson, Buffalo","146x29x13, 304g, 171n","1919, May","in harbor at Ashtabula, OH",Erie,hull failure,?,none,?,"She sank in the harbor. After survey she was declared a constructive total loss because of her age and was abandoned in place. Owned by American Transit Co., Sarnia, Ont. Sold Canadian in 1916. Rebuilt to a bulker in 1880, rebuilt again 1887","mv,ns2,mpl,cv,mmgl",Image from HCGL,s,42.257153,-80.037835,estimated_from_place_text
J.H. STEVENS,none,12787,"gas screw, bulk feight","1859, D. Edwards, Milan, Oh as 2-mast schr [later 3-mast]","100x21x7, 94g 88n","1927, Jun 10","off Presque Isle, MI",Huron,fire,none of 5,none,?,"She was destroyed by an offshore fire. Homeport in 1921: Milwaukee. Equipped with semi-diesel engine in 1908. She could probably could sail or run under power. Rebuilt at Detroit, 1866; at Sheboygan, 1873; and in 1891.","mv,polk,slh,mv,mpl,bb",Image as 3-master from GLMD,s,43.903483,-82.475603,estimated_from_place_text
WILLIAM H. STEVENS,none,81120,"propeller, wood, bulk freight","1886, F. Wheeler, W. Bay City hull# 27","213x37x14, 1332g 1025n","1902, Sep 8","Off Clear Creek, Ont., W of Long Point",Erie,fire,none of 21,none,"mixed cargo, including slippery flaxseed and copper ingots","Bound Duluth for Buffalo, she caught fire while underway. Her crew fought the fire for 10 hours in a storm before abandoning her. She burned to the waterline and sank. For some time she had floated with her stern on the bottom and her bow 6’ below the surface in 66 feet of water. Owned by Union Transit Co. of Buffalo. Master: Capt. John Tyrney. Copper worth $55,000 [about $1.2 million 2010 dollars] was recovered by wrecking master Harris W. Baker of Detroit. Rebuilt, 1899","vbs,gsgl,ns1,mv,ledc,nsp,mpl,ewe,es",Image from GLMD,s,42.555874,-79.88637,estimated_from_place_text
ELLEN STEVENSON,none,135118,"schooner, wood, 2-mast","1875, Martin Olsen, Sheboygan, WI","62x17x6, 44gt 42nt","1897, Oct 6","40 miles off Holland, MI",Michigan,storm,none,none,fruit (grapes or peaches),"She foundered in a NW gale. Her crew made it nearly to Holland in her lifeboat and were then assisted to shore by the Lifesaving Service. Master: Capt. Schippers. Owner: Capt. J. DeYoung, Grand Haven.. Driven ashore and declared total loss near Grand Haven, MI, Nov 19, 1891.","nsp,hgl,wb,mv,bb",,s,43.645007,-86.453363,estimated_from_place_text_lake_corrected
JOHN STEVENSON,also seen as JOHN STEPHENSON,C,"schooner, wood","1863, E Beaupre, Napanee, Ont.","97x20x8, 170 t.","1884, Feb 19","off Windsor, Ont",Detroit R,collision,none,none,none,"She was run down and sunk by the Grand Trunk transfer carferry GREAT WESTERN and sunk. The railroad accepted responsibility and raised her, but she never sailed again and was abandoned in a boneyard at Detroit. Owned by Odette & Wherry, Windsor.","es,rsl,wl,bb",,s,42.505284,-82.868854,geocoded_off_place_lake_corrected
STEWART,?,?,dredge barge,?,293 t.,"1931, Dec 23","At Welland, Ont., Welland Canal",Ontario,fire,?,none,none,Destroyed by fire.,h,,s,43.611248,-76.895809,geocoded_lake_centroid_lake_corrected
DAVID STEWART,none,6144,"schooner, wood, 3-mast","1867, Peck, Cleveland","171x31x13, 545g 518n","1893, Oct 6","at Pigeon Bay, Ont.",Erie,storm,none,none,"1,100 t. iron ore","Bound Escanaba for Cleveland, she encountered a powerful gale near the dummy and ran into Pigeon Bay for shelter. A change of wind found her and she began to break up in the bight of the bay, in huge waves. She foundered in 30 feet of water and became a total loss. Her crew clung to the frozen rigging for 14 hrs until saved by the fish tug LOUISE of Sandusky which was also sheltering. Owned by J. Squiers, Marine City, Mich. Master: Capt. Titus. Dragged ashore in a gale, stranded and declared total loss near Fairport, OH, in Oct, 1891. Salvaged in ’92. Ashore in Green Bay in 1868. Major repairs 1879, 1883","mv,polk,eas,h,ledc,wb,nsp,phr,hgl,sb,mpl,do2,ew,es",Image from GLMD,s,42.203982,-81.171158,geocoded_direct_lake_corrected
DUNCAN STEWART,none,none,"scow-schooner, wood, 2-mast","1853, John McDermott, Detroit","62x16x3, 22 t. om","1857, Aug 12",10 mi off Cleveland,Erie,capsized,none,none,lath,"Bound Detroit for Cleveland, the scow capsized for unreported reasons. No storm was occurring at the time. Her crew clung to her sides for 4 hours until rescued by the schooner ADAIR. Out of Detroit. Master: Capt. A. D. Burdeno. Declared a total loss, but re-enrolled in 1859.","nsp,hgl,wl,blu[57]",,s,42.713203,-79.415774,estimated_from_place_text_lake_corrected
ELLEN STEWART,also seen as ELLEN STUART,none,"schooner, wood, 2-mast","1848, Dugall Duncan, Trenton, MI","102x24x7, 161 t. om","1854, Nov 6","mouth of Grand River, Michigan",Michigan,storm,none,none,"iron, coal and water lime","Bound Grand Haven for Chicago, she was driven ashore by a gale, along with three other schooners. Broke in two and filled. Her crew remained aboard for more than 12 hours until rescued by small boat from the steamer OTTAWA. Owned by A.H. Covert of Chicago. Also reported ashore and a total loss on Long Point in 1851, but she was recovered and reregistered in 1852","nsp,eas,wl,wmn",,s,43.699821,-86.551519,estimated_from_place_text_lake_corrected
ERIE STEWART,also seen as ERIN STEWART and ERIC STEWART,C71131,"schooner, wood, 2-mast","1874, G. Waterberry or Waterbury, Port Dover, Ont.","118x23x11, 230 t.","1907, Oct 7","Southampton, Ont.",Huron,storm,none,none,light,"While seeking shelter from a storm, she was dashed against a pier in the harbor, broke up and sank. Her crew made it to the breakwater and were saved.","polk,win,mmgl,ns1,mpl,do",Image from HCGL,s,44.503498,-81.489959,geocoded_direct
FRANK STEWART,none,C,"schooner, wood","1856, Geo. Thurston, Kingston",150 t.,"1863, Nov 19","east pier of the harbor at Oswego, NY",Ontario,storm,none,none,"131,000 bd ft lumber","Bound Hamilton for Oswego, she went out of control in a gale, drove ashore outside of the pier and was declared a total wreck. The ship’s cook was trapped in her cabin as she broke up, but was rescued by volunteers from shore. The schooner later broke up near the fort. Owner and master: Capt. Anchor.","nsp,rp,hgl,clu,rnc,wmn,bb",,s,43.334141,-77.209829,estimated_from_place_text_lake_corrected
JOHN STEWART,none,13867,"propeller, wood ferry","1867, J. Foulks, E. Saginaw","77x21x5, 52g 44n","1874, Mar 12",near Port Huron,Huron,fire,none,none,none,"She caught fire and burned to a total loss. Stranded and burned near Sebewaing, MI, Nov 19, 1872.","vbs,lhl,mv,eas,nsp,bb",,s,43.954927,-81.647585,estimated_from_place_text_lake_corrected
MARY STEWART,none,none,"propeller, wood","1855, J.E. Dixon, Newport, MI","171x27x10, 422 t. om","1866, Nov 11","at Pentwater, MI*",Michigan,storm,none,none,?,"She stranded while bound Chicago to Grand Haven and was later sunk just outside the shipping lane. The schooner A.P. WARD was sunk by striking her wreckage in 1869 after a storm moved it into the channel. Heavily damaged in a sinking in Buffalo harbor, Apr 5, 1862. *one source says near Grand Haven, but Pentwater is correct.","lhl,hgl,nsp,wl,eas,mmo",,s,43.717907,-86.465795,geocoded_near_at
R.G. STEWART,none,110341,"propeller, wood, passenger & package freight","1878, Notter, Buffalo as a ferry","100x23x8, 198g 170n","1899, Jun 4",Michigan Isl. E side of the Apostles,Superior,fire,1 of 12,1,"passengers, cattle","She ran aground 1 mile east of the lighthouse and caught fire in her boiler room while bound Hancock for Duluth. Someone herded the cattle overboard and most survived. The one lost crewman died when he jumped from the upper deck to a lifeboat, capsizing it. Owner & master, Capt. C. O. Flynn, Duluth. She was a former Niagara R. ferry Rebuilt, 1883 Wreck located in 1983","polk,mv,is(2-58),gwgl,sol,lss,mpl,nsp",Image from HCGL,s,46.681873,-86.901546,estimated_from_place_text_lake_corrected
W.W. STEWART,"built as sidewheel ferry W.J. SPICER, renamed in 1881",62851,lighter barge,"1864, R. Stedman, Sarnia, Ont.","160x27x12, 294g 280n","1909, Oct 12",Buffalo harbor,Erie,fire,none,none,none,"Had been sitting idle at her dock for 7 years when she caught fire, (probably by arson) and was destroyed. Converted to schooner-barge, 1875, converted to lighter-barge in 1881. Sold American before 1883.","polk,csv,mv,ns1,mmgl",Image from HCGL,s,41.550544,-82.217816,estimated_from_place_text
THOMAS D. STIMSON,"built as schooner VIRGINIUS, renamed in 1887",25992,"propeller, wood, bulk freight","1881, Daly & Sons, Mt. Clemens, MI as a schooner","161x31x12, 510g 468n","1903, Jun 30","at Riverside, MI near Algonac",St Clair R,fire,none,none,lumber,"She caught fire from exploding engine room lamp while under way. Beached and burned to total loss. One newspaper report says her hull may have been recovered and converted to barge. Owned and sailed by Capt. A Slyfield of Port Huron, and chartered to Hines Lumber Co. Converted to steam bulk freighter at Clarks’ Dry Dock in 1887","polk,mv,ns1,is,nsp,phr,mpl",Image of vessel afire from GLMD,s,42.446188,-82.793084,geocoded_lake_centroid_lake_corrected
STOCKMAN,also seen in error as STOCKTON*,none,"propeller tug, wood [former fish tug]","1852, Cleveland","85x15x6, 82 t.","1865, Aug 29","Bear Creek, MI (Can.?)",St Clair,fire,none,none,none,"Burned to a total loss while at her dock for the night. Owned by Firby, et. al., working the Port Huron – Detroit run. *1st owner was J.G. Stockman, 1st skipper Wm. Stockman","lhl,hgl,st,wl,eas",,s,42.531763,-82.777473,geocoded_lake_centroid_lake_corrected
H.D. STOCKMAN,none,95848,"schooner, wood, 2-mast","1885, AuSable, MI","40x11x3, 11g 10n","1894, May 21","Pt. Lookout, Saginaw Bay",Huron,storm,none,none,?,She was driven ashore by a terrific gale and wrecked. Out of Port Huron.,"is(2-92),phr,nsp,slh,hgl",,s,43.965649,-81.689367,estimated_from_place_text_lake_corrected
